[16:41:59] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:00] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:01] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:02] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:03] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:03] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:04] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:05] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:06] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:06] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:08] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:08] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:09] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:10] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:11] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:11] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:12] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:13] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
[16:42:14] - tempAmbiente: 0.0C tempInt: 30.0C temp_ref: 30.0C -: control_signal: 100.0%
